journal_name,publisher,areas,issn,abs_level,ft50,utd24,abdc,sjr,journal_weight
Journal of Marketing,SAGE (AMA),Marketing,0022-2429;1547-7185,4*,1,1,A*,Q1,25
Journal of Marketing Research,SAGE (AMA),Marketing,0022-2437;1547-7193,4*,1,1,A*,Q1,25
Marketing Science,INFORMS,Marketing,0732-2399;1526-548X,4*,1,1,A*,Q1,25
Journal of Consumer Research,Oxford University Press,Marketing,0093-5301;1537-5277,4*,1,1,A*,Q1,25
Journal of Consumer Psychology,Wiley,Marketing;Psychology (Organizational),1057-7408;1532-7663,4,0,0,A*,Q1,20
MIS Quarterly,MISRC,Information Systems,0276-7783;2162-9730,4*,1,1,A*,Q1,25
Information Systems Research,INFORMS,Information Systems,1047-7047;1526-5536,4*,1,1,A*,Q1,25
Journal of Management Information Systems,Taylor & Francis,Information Systems,0742-1222;1557-928X,4,0,0,A*,Q1,20
Management Science,INFORMS,General Management;Operations Research & Management Science,0025-1909;1526-5501,4*,1,1,A*,Q1,25
Operations Research,INFORMS,Operations Research & Management Science,0030-364X;1526-5463,4*,0,1,A*,Q1,22
Journal of Operations Management,Wiley,Operations & Technology Management,0272-6963;1873-1317,4*,0,0,A*,Q1,22
Production and Operations Management,SAGE,Operations & Technology Management,1059-1478;1937-5956,4,0,1,A*,Q1,20
Organization Science,INFORMS,Organisation Studies;Strategy,1047-7039;1526-5455,4*,1,1,A*,Q1,25
Strategic Management Journal,Wiley,Strategy,0143-2095;1097-0266,4*,1,1,A*,Q1,25
Academy of Management Journal,Academy of Management,General Management,0001-4273;1948-0989,4*,1,1,A*,Q1,25
Academy of Management Review,Academy of Management,General Management,0363-7425;1930-3807,4*,1,1,A*,Q1,25
Administrative Science Quarterly,SAGE,Organisation Studies;General Management,0001-8392;1930-3815,4*,1,1,A*,Q1,25
Journal of Finance,Wiley,Finance,0022-1082;1540-6261,4*,1,1,A*,Q1,25
Journal of Financial Economics,Elsevier,Finance,0304-405X,4*,1,1,A*,Q1,25
Review of Financial Studies,Oxford University Press,Finance,0893-9454;1465-7368,4*,1,1,A*,Q1,25
The Accounting Review,American Accounting Association,Accounting,0001-4826;1558-7967,4*,1,1,A*,Q1,25
Journal of Accounting and Economics,Elsevier,Accounting;Economics,0165-4101,4*,1,1,A*,Q1,25
Journal of Econometrics,Elsevier,Econometrics;Economics,0304-4076,4,0,1,A*,Q1,20
Journal of International Business Studies,Palgrave Macmillan,International Business & Area Studies,0047-2506;1478-6990,4*,1,1,A*,Q1,25
Entrepreneurship Theory and Practice,SAGE,Entrepreneurship & Small Business Management,1042-2587;1540-6520,4,0,0,A*,Q1,20
