journal_name,publisher,areas,issn,abs_level,ft50,utd24,abdc,sjr,impact_factor,journal_weight
Journal of Finance,Wiley,Finance,0022-1082;1540-6261,4*,1,1,A*,,12.817,24.09
Journal of Financial Economics,Elsevier BV,Finance,0304-405X;1879-2774,4*,1,1,A*,,12.295,23.87
The Review of Financial Studies,Oxford University Press,Finance,0893-9454;1465-7368,4*,1,1,A*,,11.591,23.58
Journal of Accounting Research,Wiley,Accounting,0021-8456;1475-679X,4*,1,1,A*,,10.709,23.21
The Quarterly Journal of Economics,Oxford University Press,Economics,0033-5533;1531-4650,4*,1,0,A*,,20.944,23.12
The Review of Economic Studies,Oxford University Press,Economics,0034-6527;1467-937X,4*,1,0,A*,,15.694,23.12
American Economic Review,American Economic Association,Economics,0002-8282;0065-812X;1944-7981,4*,1,0,A*,,14.719,23.01
Academy of Management Review,Academy of Management,General Management,0363-7425;1930-3807,4*,1,1,A*,,8.563,22.32
Journal of International Business Studies,Palgrave Macmillan,International Business & Area Studies,0047-2506;1478-6990,4*,1,1,A*,,8.326,22.22
Strategic Management Journal,Wiley,Strategy,0143-2095;1097-0266,4*,1,1,A*,,8.29,22.2
Organization Science,Institute for Operations Research and the Management Sciences,Organisation Studies,1047-7039;1526-5455,4*,1,1,A*,,7.286,21.79
MIS Quarterly,MIS Quarterly,Information Systems,0276-7783;2162-9730,,1,1,A*,,7.128,21.72
Journal of Marketing,SAGE Publishing,Marketing,0022-2429;1547-7185,4*,1,1,A*,,7.11,21.71
Journal of Consumer Research,Oxford University Press,Marketing,0093-5301;1537-5277,4*,1,1,A*,,7.076,21.7
Journal of Operations Management,Wiley,Operations & Technology Management,0272-6963;1873-1317,4*,1,1,A*,,6.91,21.63
Marketing Science,Institute for Operations Research and the Management Sciences,Marketing,0732-2399;1526-548X,4*,1,1,A*,,6.828,21.59
Academy of Management Journal,Academy of Management,General Management,0001-4273;1948-0989,4*,1,1,A*,,6.497,21.46
Journal of Accounting and Economics,Elsevier BV,Accounting,0165-4101;1879-1980,4*,1,1,A*,,6.368,21.4
Management Science,Institute for Operations Research and the Management Sciences,Operations Research & Management Science,0025-1909;1526-5501,4*,1,1,A*,,6.077,21.28
Academy of Management Annals,Academy of Management,Strategy,1941-6520;1941-6067,4*,0,0,A*,,17.062,21.25
Journal of the Academy of Marketing Science,Springer Science+Business Media,Marketing,0092-0703;1552-7824,4*,1,0,A*,,10.41,21.21
Information Systems Research,Institute for Operations Research and the Management Sciences,Information Systems,1047-7047;1526-5536,4*,1,1,A*,,5.641,21.1
The Accounting Review,American Accounting Association,Accounting,0001-4826;1558-7967,4*,1,1,A*,,5.324,20.97
Journal of Management,SAGE Publishing,General Management,0149-2063;1557-1211,4*,1,0,A*,,9.543,20.85
Administrative Science Quarterly,SAGE Publishing,Organisation Studies,0001-8392;1930-3815,4*,1,1,A*,,3.885,20.37
Research Policy,Elsevier BV,Innovation,0048-7333;1873-7625,4*,1,0,A*,,8.076,20.24
Journal of Marketing Research,SAGE Publishing,Marketing,0022-2437;1547-7193,4*,1,1,A*,,3.426,20.18
Operations Research,Institute for Operations Research and the Management Sciences,Operations Research & Management Science,0030-364X;1526-5463,4*,1,1,A*,,3.369,20.15
Econometrica,Wiley,Econometrics,0012-9682;1468-0262,4*,1,0,A*,,7.358,19.94
Annual Review of Organizational Psychology and Organizational Behavior,Annual Reviews,Strategy,2327-0616;2327-0608,,0,0,A*,,11.787,19.91
"Accounting, Organizations and Society",Elsevier BV,Accounting,0361-3682;1873-6289,4*,1,0,A*,,7.242,19.89
Annual Review of Psychology,Annual Reviews,Strategy,0066-4308;1545-2085,4,0,0,A*,,15.93,19.58
Journal of Political Economy,University of Chicago Press,Economics,0022-3808;1537-534X,4*,1,0,A*,,6.283,19.49
Entrepreneurship Theory and Practice,SAGE Publishing,Entrepreneurship & Small Business Management,1042-2587;1540-6520;1540-8520,4*,1,0,A*,,6.235,19.47
Journal of Consumer Psychology,Elsevier BV,Marketing,1057-7408;1532-7663,4*,1,0,A*,,5.397,19.12
Production and Operations Management,Wiley,Operations & Technology Management,1059-1478;1937-5956,4,1,1,A*,,4.666,19.03
Journal of Management Information Systems,Taylor & Francis,Information Systems,0742-1222;1557-928X,4,1,0,A*,,8.879,18.91
Journal of Applied Psychology,American Psychological Association,Psychology (Organizational),0021-9010;1939-1854,4*,1,0,A*,,4.843,18.89
Academy of Management Learning and Education,Academy of Management,Strategy,1537-260X;1944-9585,4*,0,0,A*,,8.371,18.49
Annual Review of Sociology,Annual Reviews,Strategy,0360-0572;1545-2115,4*,0,0,A*,,8.012,18.34
Journal of Economic Literature,American Economic Association,Economics,0002-0515;2328-8175;0022-0515;1547-1101,4,0,0,A*,,11.717,18.22
Journal of Strategic Information Systems,Elsevier,Information Systems,0963-8687;1873-1198,4,0,0,A*,,11.719,18.22
Transportation Research Part C: Emerging Technologies,Elsevier,Operations & Technology Management,0968-090X;1879-2359,,0,0,A*,,7.566,18.15
Journal of Management Studies,Wiley,General Management,0022-2380;1467-6486,4,1,0,A*,,6.779,18.03
Journal of Business Venturing,Elsevier,Strategy,0883-9026;1873-2003,4*,0,0,A*,,7.219,18.01
Review of Accounting Studies,Springer Science+Business Media,Accounting,1380-6653;1573-7136,4,1,0,A*,,6.555,17.94
Psychological Bulletin,American Psychological Association,Strategy,0033-2909;1939-1455,4,0,0,A*,,10.848,17.85
Tourism Management,Elsevier,Tourism & Hospitality Management,0261-5177;1879-3193,4,0,0,A*,,10.847,17.85
International Journal of Operations & Production Management,Emerald Group Publishing,Strategy,0144-3577;1758-6593,4,0,0,A,,10.605,17.75
