journal_name,issn,ft50,utd24,area
Academy of Management Journal,0001-4273,1,1,General Management
Academy of Management Review,0363-7425,1,1,General Management
"Accounting, Organizations and Society",0361-3682,1,0,Accounting
Administrative Science Quarterly,0001-8392,1,1,Organisation Studies
American Economic Review,0002-8282,1,0,Economics
Contemporary Accounting Research,0823-9150,1,0,Accounting
Econometrica,0012-9682,1,0,Econometrics
Entrepreneurship Theory and Practice,1042-2587,1,0,Entrepreneurship & Small Business Management
Harvard Business Review,0017-8012,1,0,General Management
Human Relations,0018-7267,1,0,Organisation Studies
Human Resource Management,0090-4848,1,0,Human Resource Management & Employment Studies
Information Systems Research,1047-7047,1,1,Information Systems
Journal of Accounting and Economics,0165-4101,1,1,Accounting
Journal of Accounting Research,0021-8456,1,1,Accounting
Journal of Applied Psychology,0021-9010,1,0,Psychology (Organizational)
Journal of Business Ethics,0167-4544,1,0,Ethics & Governance
Journal of Consumer Psychology,1057-7408,1,0,Marketing
Journal of Consumer Research,0093-5301,1,1,Marketing
Journal of Finance,0022-1082,1,1,Finance
Journal of Financial and Quantitative Analysis,0022-1090,1,0,Finance
Journal of Financial Economics,0304-405X,1,1,Finance
Journal of International Business Studies,0047-2506,1,1,International Business & Area Studies
Journal of Management,0149-2063,1,0,General Management
Journal of Management Information Systems,0742-1222,1,0,Information Systems
Journal of Management Studies,0022-2380,1,0,General Management
Journal of Marketing,0022-2429,1,1,Marketing
Journal of Marketing Research,0022-2437,1,1,Marketing
Journal of Operations Management,0272-6963,1,1,Operations & Technology Management
Journal of Political Economy,0022-3808,1,0,Economics
Journal of the Academy of Marketing Science,0092-0703,1,0,Marketing
Management Science,0025-1909,1,1,Operations Research & Management Science
Manufacturing & Service Operations Management,1523-4614,1,1,Operations & Technology Management
Marketing Science,0732-2399,1,1,Marketing
MIS Quarterly,0276-7783,1,1,Information Systems
Operations Research,0030-364X,1,1,Operations Research & Management Science
Organization Science,1047-7039,1,1,Organisation Studies
Organization Studies,0170-8406,1,0,Organisation Studies
Organizational Behavior and Human Decision Processes,0749-5978,1,0,Organizational Behaviour
Production and Operations Management,1059-1478,1,1,Operations & Technology Management
The Quarterly Journal of Economics,0033-5533,1,0,Economics
Research Policy,0048-7333,1,0,Innovation
Review of Accounting Studies,1380-6653,1,0,Accounting
The Review of Economic Studies,0034-6527,1,0,Economics
Review of Finance,1572-3097,1,0,Finance
The Review of Financial Studies,0893-9454,1,1,Finance
MIT Sloan Management Review,1532-9194,1,0,General Management
Strategic Entrepreneurship Journal,1932-4391,1,0,Entrepreneurship & Small Business Management
Strategic Management Journal,0143-2095,1,1,Strategy
The Accounting Review,0001-4826,1,1,Accounting
The RAND Journal of Economics,0741-6261,1,0,Economics
INFORMS Journal on Computing,1091-9856,0,1,Operations Research & Management Science
